#VALUE!,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory usage [GB],Memory capacity provisioned [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],Label,Memory usage [KB],,,
1376398252,4,11703.99824,10982.2516818667,93.8333333333,5.9055784,67108864,0,11645.9333333333,0,1.3333333333,1,5905578.4,,,1
1376399153,4,11703.99824,11056.3770040533,94.4666666667,14.4507736,67108864,0.0666666667,8199,0,1.5333333333,1,14450773.6,,,1
1376400053,4,11703.99824,10129.81047672,86.55,14.6297301333,67108864,2.5333333333,10979.8,716.9333333333,11.0666666667,1,14629730.1333333,,,1
1376400953,4,11703.99824,10988.1036809867,93.8833333333,6.710884,67108864,0,11908.1333333333,0,1.4,1,6710884,,,1
1376401853,4,11703.99824,11073.9330014133,94.6166666667,15.3008186667,67108864,0.0666666667,8233.2,0,1.5333333333,1,15300818.6666667,,,1
1376402753,4,11703.99824,10194.18246704,87.1,13.8691634667,67108864,2.6,12471.6,713,10.9333333333,1,13869163.4666667,,,1
1376403653,4,11703.99824,10993.9556801067,93.9333333333,8.3662362667,67108864,0,10271.2666666667,0,1.4,1,8366236.26666667,,,1
1376404553,4,11703.99824,83.8786540533,0.7166666667,2.6396130667,67108864,0,1.3333333333,0,1,0,2639613.06666667,,,1
1376405453,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376406353,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376407254,4,11703.99824,70.22398944,0.6,0.1789568,67108864,0,1.3333333333,0,1,0,178956.8,,,1
1376408154,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376409054,4,11703.99824,11068.0810022933,94.5666666667,5.2344896,67108864,0.2,8219.8,0,1.5333333333,1,5234489.6,,,1
1376409954,4,11703.99824,10211.7384644,87.25,18.3878264,67108864,2.5333333333,11860.6,718.5333333333,19.4666666667,1,18387826.4,,,1
1376410854,4,11703.99824,11005.6596783467,94.0333333333,7.2924936,67108864,0,11758,0,1.8,1,7292493.6,,,1
1376411754,4,11703.99824,11128.5516598667,95.0833333333,14.6744698667,67108864,0.0666666667,6572.4,0,1.4,1,14674469.8666667,,,1
1376412654,4,11703.99824,10352.18644328,88.45,12.5269861333,67108864,133.8666666667,15243.8666666667,548.9333333333,17.7333333333,1,12526986.1333333,,,1
1376413555,4,11703.99824,11070.0316686667,94.5833333333,8.6794101333,67108864,0,9903.0666666667,0.0666666667,1.6,1,8679410.13333333,,,1
1376414455,4,11703.99824,11114.8969952533,94.9666666667,21.2958776,67108864,0,8644.9333333333,3.4,1.5333333333,1,21295877.6,,,1
1376415355,4,11703.99824,10906.1756933067,93.1833333333,6.5319274667,67108864,0,13611.1333333333,0,2.7333333333,1,6531927.46666667,,,1
1376416255,4,11703.99824,11085.6369996533,94.7166666667,8.1425397333,67108864,0.2,8656.6,0,1.5333333333,1,8142539.73333333,,,1
1376417155,4,11703.99824,10205.88646528,87.2,21.832748,67108864,2.5333333333,7655.7333333333,718.4666666667,9.9333333333,1,21832748,,,1
1376418055,4,11703.99824,10988.1036809867,93.8833333333,7.5609288,67108864,0,11901.4,0,1.9333333333,1,7560928.8,,,1
1376418955,4,11703.99824,11126.6009934933,95.0666666667,11.0505914667,67108864,0.0666666667,6281,0,1.4666666667,1,11050591.4666667,,,1
1376419855,4,11703.99824,10207.8371316533,87.2166666667,12.1690712,67108864,2.5333333333,11406.0666666667,708.2666666667,19.4666666667,1,12169071.2,,,1
1376420755,4,11703.99824,11046.6236721867,94.3833333333,6.5766669333,67108864,0,10083.8,0,1.6666666667,1,6576666.93333333,,,1
1376421655,4,11703.99824,10964.6956845067,93.6833333333,17.9404344,67108864,136.8,14069.6,3.6666666667,1.5333333333,1,17940434.4,,,1
1376422555,4,11703.99824,10849.60636848,92.7,6.4424496,67108864,1.2666666667,18228.8666666667,0,1.9333333333,1,6442449.6,,,1
1376423456,4,11703.99824,10923.7316906667,93.3333333333,11.1400693333,67108864,5.4,12127.6666666667,0,1.4,1,11140069.3333333,,,1
1376424356,4,11703.99824,10116.1558121067,86.4333333333,9.4399778667,67108864,0.0666666667,15338.8,0.7333333333,13.1333333333,1,9439977.86666667,,,1
1376425256,4,11703.99824,71.0599893143,0.6071428571,0.4314137143,67108864,0,2.5714285714,0,1.0714285714,0,431413.714285714,,,1
1376426156,4,11703.99824,58.5199912,0.5,0.223696,67108864,0,1.3333333333,0,1,0,223696,,,1
1376427056,4,11703.99824,64.7899902571,0.5535714286,0,67108864,0,2.2142857143,0,1,0,0,,,1
1376427956,4,11703.99824,72.1746558133,0.6166666667,0.1342176,67108864,0,1.4,0,1,0,134217.6,,,1
1376428856,4,11703.99824,64.7899902571,0.5535714286,0,67108864,0,1.3571428571,0,1,0,0,,,1
1376429756,4,11703.99824,60.6099908857,0.5178571429,0,67108864,0,1.4285714286,0,1,0,0,,,1
1376430656,4,11703.99824,85.8293204267,0.7333333333,0,67108864,8.4666666667,4.3333333333,0,1.0666666667,0,0,,,1
1376431556,4,11703.99824,62.4213239467,0.5333333333,0.1342176,67108864,0,2.4666666667,0,1,0,134217.6,,,1
1376432456,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376433356,4,11703.99824,73.149989,0.625,0,67108864,0,1.3571428571,0,1,0,0,,,1
1376434256,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.4,0,1,0,0,,,1
1376435156,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.4,0,1,0,0,,,1
1376436056,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376436956,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376437856,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.4,0,1,0,0,,,1
1376438756,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.4,0,1,0,0,,,1
1376439656,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376440557,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376441457,4,11703.99824,68.2733230667,0.5833333333,0.0447392,67108864,0,1.4,0,1,0,44739.2,,,1
1376442357,4,11703.99824,68.2733230667,0.5833333333,0.1342176,67108864,0,1.4666666667,0,1,0,134217.6,,,1
1376443257,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.4,0,1,0,0,,,1
1376444157,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376445057,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.6666666667,0,1,0,0,,,1
1376445957,4,11703.99824,66.3226566933,0.5666666667,0.1342176,67108864,0,1.3333333333,0,1,0,134217.6,,,1
1376446857,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376447757,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376448657,4,11703.99824,74.1253221867,0.6333333333,0.0894784,67108864,0,1.3333333333,0,1,0,89478.4,,,1
1376449558,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376450458,4,11703.99824,81.92798768,0.7,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376451358,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376452258,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376453158,4,11703.99824,64.37199032,0.55,0,67108864,0,1.6666666667,0,1,0,0,,,1
1376454058,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376454958,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376455858,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376456758,4,11703.99824,68.2733230667,0.5833333333,0.3579136,67108864,0,1.4666666667,0,1,0,357913.6,,,1
1376457659,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376458559,4,11703.99824,193.11597096,1.65,0.0447392,67108864,2.5333333333,2.1333333333,269.2666666667,3.0666666667,1,44739.2,,,1
1376459459,4,11703.99824,11044.6730058133,94.3666666667,6.3082309333,67108864,0.1333333333,10256.3333333333,0,1.6666666667,1,6308230.93333333,,,1
1376460359,4,11703.99824,11042.72233944,94.35,18.2088701333,67108864,0,8806.4,3.4,1.6,1,18208870.1333333,,,1
1376461258,4,11703.99824,10660.3917302667,91.0833333333,7.6056693333,67108864,0.0666666667,19089.8666666667,0.7333333333,13.2666666667,1,7605669.33333333,,,1
1376462158,4,11703.99824,11023.2156757067,94.1833333333,8.0978005333,67108864,0.1333333333,10264.5333333333,0,1.6666666667,1,8097800.53333333,,,1
1376463059,4,11703.99824,11075.8836677867,94.6333333333,18.3878269333,67108864,0,6374.8,0,1.4,1,18387826.9333333,,,1
1376463959,4,11703.99824,10535.5490823733,90.0166666667,8.8583685333,67108864,2.5333333333,16425.7333333333,482.6,16.8666666667,1,8858368.53333333,,,1
1376464859,4,11703.99824,11031.0183412,94.25,6.6661448,67108864,0,9638.6,0,1.6666666667,1,6666144.8,,,1
1376465759,4,11703.99824,11097.3409978933,94.8166666667,19.5063069333,67108864,0.0666666667,7409.6,0,1.5333333333,1,19506306.9333333,,,1
1376466659,4,11703.99824,10555.0557461067,90.1833333333,9.5294565333,67108864,2.5333333333,16164.1333333333,475.4,16.8666666667,1,9529456.53333333,,,1
1376467559,4,11703.99824,11060.2783368,94.5,6.263492,67108864,131.4666666667,10234.1333333333,19.8,2.6,1,6263492,,,1
1376468459,4,11703.99824,87.7799868,0.75,14.3612952,67108864,0,2,0,1,1,14361295.2,,,1
1376469359,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376470259,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376471159,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376472059,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376472959,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376473860,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376474760,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.2,0,1,0,0,,,1
1376475660,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376476560,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.6,0,1.0666666667,0,0,,,1
1376477460,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,15.3333333333,0,1,0,0,,,1
1376478360,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376479260,4,11703.99824,68.2733230667,0.5833333333,0.0894784,67108864,0,1.3333333333,0,1,0,89478.4,,,1
1376480160,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376481060,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376481960,4,11703.99824,70.22398944,0.6,0,67108864,0,1.8,0.0666666667,1.0666666667,0,0,,,1
1376482861,4,11703.99824,64.37199032,0.55,0,67108864,0,1.4,0,1,0,0,,,1
1376483761,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376484661,4,11703.99824,83.8786540533,0.7166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376485561,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376486461,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376487361,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376488261,4,11703.99824,79.9773213067,0.6833333333,0.0894784,67108864,8.5333333333,4.3333333333,0,1.0666666667,0,89478.4,,,1
1376489161,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.5333333333,0,1,0,0,,,1
1376490061,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376490962,4,11703.99824,76.07598856,0.65,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376491862,4,11703.99824,79.9773213067,0.6833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376492762,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376493662,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376494561,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376495461,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,2.1333333333,0,1.1333333333,0,0,,,1
1376496362,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376497262,4,11703.99824,58.5199912,0.5,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376498162,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376499062,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376499962,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376500862,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,1.4,0,1,0,0,,,1
1376501762,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.4,0,1,0,0,,,1
1376502662,4,11703.99824,60.4706575733,0.5166666667,0,67108864,0,2,0,1.0666666667,0,0,,,1
1376503563,4,11703.99824,58.5199912,0.5,0,67108864,0,1.4666666667,0,1,0,0,,,1
1376504463,4,11703.99824,66.3226566933,0.5666666667,0.1342176,67108864,0,1.4,0,1,0,134217.6,,,1
1376505363,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,2.2,0,1,0,0,,,1
1376506263,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376507163,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376508063,4,11703.99824,117.0399824,1,0.0894784,67108864,131.3333333333,15.2,0,1,0,89478.4,,,1
1376508963,4,11703.99824,76.07598856,0.65,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376509863,4,11703.99824,64.37199032,0.55,0,67108864,0,1.5333333333,0,1,0,0,,,1
1376510763,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376511664,4,11703.99824,64.37199032,0.55,0.1789568,67108864,0,1.3333333333,0,1,0,178956.8,,,1
1376512564,4,11703.99824,70.22398944,0.6,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376513464,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376514364,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376515264,4,11703.99824,81.92798768,0.7,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376516164,4,11703.99824,83.8786540533,0.7166666667,0,67108864,0,2,0,1.0666666667,0,0,,,1
1376517064,4,11703.99824,72.1746558133,0.6166666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376517965,4,11703.99824,81.92798768,0.7,0,67108864,0,2.6666666667,0,1,0,0,,,1
1376518865,4,11703.99824,64.37199032,0.55,0,67108864,0,1.3333333333,0.0666666667,1,0,0,,,1
1376519765,4,11703.99824,74.1253221867,0.6333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376520665,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.6666666667,0,1,0,0,,,1
1376521565,4,11703.99824,78.0266549333,0.6666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376522465,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.7333333333,0,0.9333333333,0,0,,,1
1376523365,4,11703.99824,66.3226566933,0.5666666667,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376524265,4,11703.99824,62.4213239467,0.5333333333,0,67108864,0,1.3333333333,0,1,0,0,,,1
1376525165,4,11703.99824,74.1253221867,0.6333333333,0.894784,67108864,0,4.2666666667,0,1.0666666667,0,894784,,,1
1376526065,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,0.3333333333,0,1,0,0,,,1
1376526965,4,11703.99824,70.22398944,0.6,0,67108864,0,0.4,0,1,0,0,,,1
1376527865,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.0666666667,0,1.0666666667,0,0,,,1
1376528765,4,11703.99824,79.9773213067,0.6833333333,0,67108864,0,0.4,0,1,0,0,,,1
1376529666,4,11703.99824,64.37199032,0.55,0.1789568,67108864,0,0.5333333333,0,1,0,178956.8,,,1
1376530566,4,11703.99824,68.2733230667,0.5833333333,0,67108864,0,1.2,0,1,0,0,,,1
